date: Day,product_name,vendor_name,lot_name,references,Sum of inward_qty,Sum of return_qty_by_lot,Sum of net_qty,Average of unit_price_inr
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000467,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000468,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000469,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000470,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000471,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000472,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000474,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000475,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000476,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000477,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000478,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000479,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000480,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS06,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH2-LF3-W1-AA06-0000253,UH/REC-SUB-3D/02625,1.0,0.0,1.0,190.0
2026-01-16,UHCTPFGAAS07,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA07-0000663,UH/REC-SUB-3D/02625,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS07,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA07-0000668,UH/REC-SUB-3D/02625,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS07,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA07-0000669,UH/REC-SUB-3D/02625,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS07,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA07-0000671,UH/REC-SUB-3D/02625,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS07,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA07-0000674,UH/REC-SUB-3D/02625,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS07,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA07-0000676,UH/REC-SUB-3D/02625,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS07,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA07-0000679,UH/REC-SUB-3D/02625,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS07,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA07-0000681,UH/REC-SUB-3D/02625,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000481,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000482,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000485,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000486,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000489,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000491,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000493,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000494,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000498,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000499,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000500,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000501,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000502,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000505,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000507,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000508,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000509,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000510,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000511,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000514,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000516,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000517,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000519,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000520,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000522,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000523,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000524,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
